Time,Power,Head,Flow,Price,Date,Mode,Volume
0,2.72248819970874,71.72331342514062,4.664402448254464,48.59,2024-04-09,Turbine,327320.3488137161
1,0.0,71.72331342514062,0.0,38.15,2024-04-09,Idle,327320.3488137161
2,0.0,71.72331342514062,0.0,38.54,2024-04-09,Idle,327320.3488137161
3,2.642740490841901,70.32282091175176,4.6683091377786905,41.84,2024-04-09,Turbine,344126.2617097193
4,2.5629259889523186,68.92115541007736,4.672219099366856,41.1,2024-04-09,Turbine,360946.25046744
5,3.988784427474504,66.76147127568373,7.198948286349057,58.65,2024-04-09,Turbine,386862.4642982966
6,4.674506382589578,64.19344174489353,8.560099829212524,63.05,2024-04-09,Turbine,417678.82368346164
7,2.5966441272580028,62.59411476921581,5.331090786616191,46.47,2024-04-09,Turbine,436870.75051527994
8,0.0,62.59411476921581,0.0,32.52,2024-04-09,Idle,436870.75051527994
9,0.0,62.59411476921581,0.0,27.12,2024-04-09,Idle,436870.75051527994
10,0.0,62.59411476921581,0.0,17.48,2024-04-09,Idle,436870.75051527994
11,-3.998331777065721,64.87821655114793,-7.6136738456449375,4.08,2024-04-09,Pump,409461.52467095817
12,-4.222158070957717,67.17009795931442,-7.63960593731356,4.28,2024-04-09,Pump,381958.94329662935
13,0.0,67.17009795931442,0.0,19.69,2024-04-09,Idle,381958.94329662935
14,-4.446746714812257,69.46978549103898,-7.665626353408864,13.22,2024-04-09,Pump,354362.68842435745
15,0.0,69.46978549103898,0.0,22.92,2024-04-09,Idle,354362.68842435745
16,0.0,69.46978549103898,0.0,41.91,2024-04-09,Idle,354362.68842435745
17,3.476494190325377,67.5837741324827,6.286705551747559,57.73,2024-04-09,Turbine,376994.82841064874
18,3.0273680843571804,65.86790585138115,5.719561867923289,53.42,2024-04-09,Turbine,397585.25113517256
19,2.473547408949028,64.37982065295513,4.96028480209128,48.34,2024-04-09,Turbine,415442.2764227012
20,0.0,64.37982065295513,0.0,40.43,2024-04-09,Idle,415442.2764227012
21,0.0,64.37982065295513,0.0,25.0,2024-04-09,Idle,415442.2764227012
22,0.0,64.37982065295513,0.0,25.84,2024-04-09,Idle,415442.2764227012
23,-4.173318694505275,66.67000453002412,-7.633947499400878,6.65,2024-04-09,Pump,387960.065424858
0,0.0,73.12263393186319,0.0,53.14,2024-07-09,Idle,310528.4999999973
1,0.0,73.12263393186296,0.0,41.26,2024-07-09,Idle,310528.5
2,0.0,73.12263393186348,0.0,38.7,2024-07-09,Idle,310528.49999999395
3,0.0,73.12263393186348,0.0,49.9,2024-07-09,Idle,310528.49999999395
4,0.0,73.12263393186373,0.0,58.21,2024-07-09,Idle,310528.4999999908
5,2.722488199708783,71.72331342514138,4.664402448254469,75.38,2024-07-09,Turbine,327320.3488137069
6,2.6427404908419447,70.32282091175253,4.668309137778674,75.58,2024-07-09,Turbine,344126.26170971
7,0.0,70.32282091175253,0.0,59.81,2024-07-09,Idle,344126.26170971
8,0.0,70.32282091175253,0.0,46.63,2024-07-09,Idle,344126.26170971
9,-4.75569192018552,72.63324658412584,-7.701420161397222,33.71,2024-07-09,Pump,316401.1491286801
10,-4.98209777462288,74.95154154162275,-7.727651116078551,21.95,2024-07-09,Pump,288581.60511079745
11,-5.78900419186344,77.5022259908361,-8.502282881212693,7.32,2024-07-09,Pump,257973.38673843176
12,-6.295046220228373,80.16076683914791,-8.861804270056794,5.31,2024-07-09,Pump,226070.8913662273
13,-5.71974308194071,82.50470045010537,-7.813113308190253,12.12,2024-07-09,Pump,197943.68345674244
14,0.0,82.50470045010537,0.0,46.43,2024-07-09,Idle,197943.68345674244
15,3.257175074996969,81.11323793192268,4.638209148859062,77.36,2024-07-09,Turbine,214641.23639263492
16,4.4988101739180015,79.05665556932335,6.855275657765128,102.11,2024-07-09,Turbine,239320.22876058938
17,5.804746884974994,76.2830229891595,9.245443438671453,110.09,2024-07-09,Turbine,272603.8251398066
18,5.985979011386899,73.33652051751875,9.8216765040491,121.81,2024-07-09,Turbine,307961.86055438337
19,5.63896476494889,70.47756902720283,9.529839852133492,108.05,2024-07-09,Turbine,342269.28402206395
20,3.7243603548913526,68.49668291507247,6.60295478180069,87.85,2024-07-09,Turbine,366039.9212365466
21,3.3013725399434217,66.67000453002412,6.088928941197616,82.93,2024-07-09,Turbine,387960.065424858
22,0.0,66.67000453002412,0.0,73.97,2024-07-09,Idle,387960.065424858
23,0.0,66.67000453002412,0.0,64.4,2024-07-09,Idle,387960.065424858
0,2.722488199708741,71.72331342514063,4.664402448254435,81.4,2024-10-05,Turbine,327320.34881371586
1,0.0,71.72331342514063,0.0,75.54,2024-10-05,Idle,327320.34881371586
2,2.642740490841902,70.32282091175178,4.668309137778674,75.72,2024-10-05,Turbine,344126.2617097191
3,2.603505269620609,68.90075865083784,4.740208307897944,79.82,2024-10-05,Turbine,361191.0116181517
4,3.669200350565511,66.9011088143045,6.665500539990649,86.2,2024-10-05,Turbine,385186.813562118
5,4.881056171895614,64.23337610465093,8.8924438128495,100.4,2024-10-05,Turbine,417199.61128837615
6,4.566873080298558,61.64491114341791,8.62821794177551,110.0,2024-10-05,Turbine,448261.195878768
7,4.262025476538264,59.13335860620696,8.371843153307628,94.99,2024-10-05,Turbine,478399.83123067545
8,0.0,59.13335860620696,0.0,67.67,2024-10-05,Idle,478399.83123067545
9,-3.659201431755576,61.40567308967041,-7.574382844354318,47.21,2024-10-05,Pump,451132.0529909999
10,-3.8818726513194015,63.68572705195574,-7.600181111292882,32.51,2024-10-05,Pump,423771.4009903455
11,-4.105302286674964,65.973546853645,-7.626067246852584,26.72,2024-10-05,Pump,396317.5589016762
12,-5.425688295790103,68.69364771453637,-9.06700434538704,6.8,2024-10-05,Pump,363676.34325828287
13,-4.5960441314023885,70.99852444042854,-7.682923670116224,29.52,2024-10-05,Pump,336017.81804586446
14,-4.821906227179037,73.31125155179197,-7.709091625946201,44.56,2024-10-05,Pump,308265.08819245815
15,0.0,73.31125155179194,0.0,69.57,2024-10-05,Idle,308265.0881924585
16,3.522503061324329,71.51537282131638,5.9862634092451374,93.86,2024-10-05,Turbine,329815.636465741
17,5.424485326518935,68.71053405259991,9.349464084110656,109.86,2024-10-05,Turbine,363473.7071685393
18,4.892646276524145,66.09032324914273,8.734037433079276,100.28,2024-10-05,Turbine,394916.2419276247
19,2.929092291332955,64.37982065295513,5.701676248632367,83.55,2024-10-05,Turbine,415442.2764227012
20,0.0,64.37982065295513,0.0,78.6,2024-10-05,Idle,415442.2764227012
21,0.0,64.37982065295513,0.0,67.0,2024-10-05,Idle,415442.2764227012
22,0.0,64.37982065295513,0.0,55.35,2024-10-05,Idle,415442.2764227012
23,-4.173318694505279,66.67000453002412,-7.633947499400875,44.22,2024-10-05,Pump,387960.065424858
0,0.0,73.122633931863,0.0,68.7,2024-01-30,Idle,310528.49999999953
1,0.0,73.122633931863,0.0,69.37,2024-01-30,Idle,310528.49999999953
2,0.0,73.1226339318628,0.0,66.06,2024-01-30,Idle,310528.5000000021
3,0.0,73.1226339318628,0.0,65.29,2024-01-30,Idle,310528.5000000021
4,0.0,73.1226339318628,0.0,69.37,2024-01-30,Idle,310528.5000000021
5,0.0,73.12263393186306,0.0,78.7,2024-01-30,Idle,310528.49999999884
6,2.722488199708746,71.72331342514073,4.664402448254407,90.82,2024-01-30,Turbine,327320.3488137147
7,2.642740490841906,70.32282091175186,4.668309137778674,95.94,2024-01-30,Turbine,344126.26170971803
8,0.0,70.32282091175186,0.0,84.93,2024-01-30,Idle,344126.26170971803
9,0.0,70.32282091175186,0.0,77.15,2024-01-30,Idle,344126.26170971803
10,0.0,70.32282091175186,0.0,70.1,2024-01-30,Idle,344126.26170971803
11,0.0,70.32282091175186,0.0,68.1,2024-01-30,Idle,344126.26170971803
12,0.0,70.32282091175186,0.0,68.23,2024-01-30,Idle,344126.26170971803
13,0.0,70.32282091175186,0.0,71.93,2024-01-30,Idle,344126.26170971803
14,0.0,70.32282091175186,0.0,75.0,2024-01-30,Idle,344126.26170971803
